location,name,score
Zimbabwe,okandas,"1,284"
"Berlin, Germany",Nico Schlömer,"1,283"
"Madison, WI, USA",Simon,"1,283"
,arsenius,"1,283"
"Bengaluru, Karnataka, India",Sriram Sakthivel,"1,282"
Germany,kostja,"1,281"
"Pune, Maharashtra, India",AndroidMechanic - Viral Patel,"1,281"
,Nan Yu,"1,281"
"Islamabad, Pakistan",Waqar,"1,281"
"Paris, Ile-de-France, France",instanceof me,"1,280"
United Kingdom,Julius A,"1,280"
"Southampton, United Kingdom",Steve Powell,"1,280"
"Portland, OR",gregjor,"1,280"
Northern Europe,Léo Léopold Hertz 준영,"1,278"
"London, United Kingdom",cuongle,"1,278"
"Brisbane, Queensland, Australia",Jonny Buchanan,"1,278"
"Tel Aviv-Yafo, Israel",David,"1,278"
Croatia,stranac,"1,278"
"Munich, Germany",Jonas Staudenmeir,"1,278"
"Victoria, BC, Canada",mtpultz,"1,278"
Russia,Airon Tark,"1,278"
Spain,Timo Huovinen,"1,277"
France,E.Wiest,"1,277"
Germany,Martin Schneider,"1,276"
,Alan Moore,"1,275"
,Xueli Chen,"1,275"
"Chicago, IL, USA",Adrian T,"1,275"
Poland,Michał Lytek,"1,275"
"Berlin, Deutschland",Andreas,"1,275"
"Mountain View, California",Kevin,"1,274"
"Austin, TX",Murali Allada,"1,273"
"Vancouver, BC, Canada",Niyaz,"1,272"
United States,Eran Medan,"1,272"
"Calgary, AB, Canada",Haifeng Zhang,"1,272"
"San Francisco, CA",Ezward,"1,272"
Indonesia,aldok,"1,272"
"Caldwell, NJ, USA",bryan60,"1,271"
"Chicago, Illinois, United States",Readonly,"1,270"
"Warsaw, Poland",Łukasz Lew,"1,270"
"Chicago, IL",Mike Two,"1,270"
,mike628,"1,270"
"Laurel, MD",robert,"1,270"
"Baltimore, MD",Dan Allan,"1,270"
"Trois-Rivières, QC Canada",Simon Dugré,"1,270"
Belgium,Pascal,"1,270"
"Dresden, Germany",Oliver Drotbohm,"1,269"
"Toruń, Polska",jedrzej.kurylo,"1,269"
"Manchester, United Kingdom",Lee,"1,268"
United States,Bob,"1,268"
"San Diego, CA",the wolf,"1,268"
,Alex,"1,268"
,Jim Ingham,"1,268"
"Hyderabad, India",Randhi Rupesh,"1,268"
"State College, PA, USA",Bryan Field,"1,267"
"Warsaw, Poland",MagGGG,"1,267"
"Sofia, Bulgaria",Mihail Duchev,"1,267"
"Cambridge, United Kingdom",tugberk,"1,266"
"Vienna, Austria",Bohuslav Burghardt,"1,266"
,Łukasz,"1,266"
"Sofia, Bulgaria",npocmaka,"1,265"
"Peking, Beijing, China",twlkyao,"1,264"
,Eric Postpischil,"1,263"
,Dave Syer,"1,263"
"New York, NY",Marcus Leon,"1,262"
"Portland, Oregon, USA",Rob Bednark,"1,262"
"Vaughan, ON, Canada",v-andrew,"1,262"
,vivat pisces,"1,261"
,Brian G,"1,260"
United States,WilliamKF,"1,260"
,CQM,"1,260"
"Vienna, Austria",Patrick Favre,"1,260"
"Bangalore, India",arunkumar,"1,260"
,Richard,"1,260"
,TomAugspurger,"1,260"
Finland,Kai Sellgren,"1,260"
"Ottawa, Canada",Tadhg McDonald-Jensen,"1,260"
"NY, United States",zisha,"1,260"
Bangladesh,SkyWalker,"1,259"
,Pascal Thivent,"1,258"
"Munich, Germany",MaxU,"1,258"
"Athens, Greece",geoand,"1,258"
"Beijing, China",zjm1126,"1,258"
,helgatheviking,"1,258"
,Kevin,"1,258"
—,l'L'l,"1,257"
Denmark,Rolf Kristensen,"1,257"
"Centennial, CO, USA",SCappella,"1,257"
"Waterloo, Canada",Blair Conrad,"1,256"
"Santa Clara, California, United States",SiegeX,"1,255"
"Salt Lake City, Ut",tdelaney,"1,255"
"Nashville, TN",Jason Orendorff,"1,252"
"Porto Alegre - RS, Brasil",Dherik,"1,252"
"Amsterdam, Netherlands",Ján Jakub Naništa,"1,251"
"Brisbane, Australia",too much php,"1,250"
,Tampa,"1,250"
"Foster City, C",Ramnath,"1,250"
Italy,araks,"1,250"
,5YrsLaterDBA,"1,250"
Morocco,Bougarfaoui El houcine,"1,250"
,Mike,"1,250"
"Vienna, Austria",Eugen Rieck,"1,249"
,Abion47,"1,249"
India,diEcho,"1,248"
New Jersey,vehomzzz,"1,248"
"Delhi, India",Ashutosh Jha,"1,248"
Planet Earth,Rotareti,"1,247"
"Stockholm, Sweden",aioobe,"1,246"
"Torun, Poland",furas,"1,246"
"Lisburn, United Kingdom",dcastro,"1,246"
Armenia,Engineer,"1,246"
"Chennai, Tamil Nadu, India",Bhuvanesh BS,"1,246"
,Iliar Turdushev,"1,245"
Brazil,hugomg,"1,244"
"Frankfurt am Main, Deutschland",udondan,"1,243"
Germany,rieckpil,"1,243"
"London, United Kingdom",robertc,"1,242"
"Vienna, Austria",Bernhard Vallant,"1,242"
Israel,Erel Segal-Halevi,"1,242"
Bulgaria,Alexander,"1,242"
,A-Sharabiani,"1,242"
Spain,sebaferreras,"1,241"
"Kerala, India",Midhun MP,"1,240"
,DiegoP.,"1,240"
England,Dave,"1,240"
,Mellon,"1,240"
"Concord, New Hampshire",Paul Morgan,"1,240"
"Toronto, Canada",Moe,"1,240"
,redneb,"1,240"
"Juiz de Fora - MG, Brasil",Tiago Gouvêa,"1,240"
"New York, United States",BrianScottK,"1,240"
NYC,Kamil Sindi,"1,239"
"Hertford, United Kingdom",RichieHindle,"1,238"
"Vancouver, Canada",Adam Dymitruk,"1,238"
"San Francisco Bay Area, CA, United States",DeborahK,"1,238"
"Helsinki, Finland",eis,"1,238"
"London, UK",Martin Konicek,"1,238"
"London, United Kingdom",Stephan Dollberg,"1,237"
,Brian Goetz,"1,236"
Austria,CherryDT,"1,236"
"Dublin, Ireland",Timmy O'Mahony,"1,235"
,joeytwiddle,"1,235"
"Welwyn Garden City, United Kingdom",Ladislav Mrnka,"1,234"
Chile,rpanai,"1,234"
"Gothenburg, Sweden",Krumelur,"1,233"
"Cornwall, UK",Matt,"1,233"
"South Jakarta, South Jakarta City, Jakarta, Indonesia",Jackyef,"1,233"
,user1526912,"1,232"
Brazil,Paulo Scardine,"1,230"
"Toronto, Canada",akbiggs,"1,230"
"Minsk, Minsk, Belarus",Artsiom Rudzenka,"1,230"
Australia,blorkfish,"1,230"
Washington DC,Chris ,"1,230"
"Orlando, FL, USA",canac,"1,230"
Poland,pkowalczyk,"1,230"
,ZyX,"1,229"
Cascadia,ddavison,"1,229"
"London, United Kingdom",nosid,"1,228"
"Cambridge, UK",rvinas,"1,228"
"London, UK",Jon,"1,226"
Virginia,Andy Arismendi,"1,226"
Singapore,Sagar,"1,226"
"Pune, Maharashtra, India",H.S.,"1,226"
"Tehran Province, Tehran, Iran",Masoud Bimar,"1,226"
Greater Los Angeles Area,Michael Liu,"1,225"
"San Francisco, California, United States",Lily Ballard,"1,224"
"Massachusetts, U.S.A.",vacawama,"1,224"
"Salt Lake City, UT, United States",spencer.sm,"1,224"
,hexacyanide,"1,223"
"Minneapolis, MN",Todd Menier,"1,223"
"Philadelphia, PA, United States",Honey,"1,222"
,Poojan,"1,222"
California,WhiteFang34,"1,220"
"Berkeley, CA",minrk,"1,220"
,tfe,"1,220"
Pune India,Pavan Gupta,"1,220"
"Santa Clara, CA, United States",Alan C. S.,"1,220"
"Los Angeles, CA, USA",jbmilgrom,"1,220"
Peru,rici,"1,219"
,Timwi,"1,219"
"Bengaluru, Karnataka, India",veer7,"1,219"
United Kingdom/Slovakia,Jan Garaj,"1,219"
"Bangalore, Karnataka, India",sonus21,"1,219"
"Hyderabad, Telangana, India",sourav pandit,"1,219"
Hungary,nemesv,"1,218"
"Trieste, TS, Italy",Bakuriu,"1,218"
"San Francisco, CA",Alex Aza,"1,218"
"Minneapolis, MN, USA",Ryan Cogswell,"1,217"
California,Lizard,"1,216"
"London, United Kingdom",danijar,"1,216"
"Seattle, WA, United States",RayLuo,"1,216"
United States,Christian Oudard,"1,215"
"Napoli, NA, Italia",VincenzoC,"1,215"
Germany,Stef,"1,215"
Spain,Manolo,"1,214"
India,Abid Rahman K,"1,213"
"Atlanta, GA, United States",Psidom,"1,211"
Ottawa,bdoughan,"1,210"
"Jackson, Mississippi, United States",ScArcher2,"1,210"
"New York, NY",benzado,"1,210"
"Sassari, Italy",Nicola Cossu,"1,210"
,L84,"1,210"
,vol7ron,"1,210"
,ig0774,"1,210"
,Nick Vanderbilt,"1,210"
"Amman, Jordan",Fareed Alnamrouti,"1,210"
"Prague, Czech Republic",Tomas Kubes,"1,210"
"Berlin, Germany",Nobita,"1,210"
"San Francisco, CA",tanookiben,"1,210"
,varunl,"1,210"
"Denver, CO",The Red Pea,"1,210"
"New York, NY, United States",drew moore,"1,209"
United States,Carl G,"1,209"
"Copenhagen, Denmark",Martin Liversage,"1,208"
"Cambridge, United Kingdom",Frederick Cheung,"1,208"
,Karel Bílek,"1,208"
"Winston-Salem, North Carolina",Brandon,"1,208"
"Berlin, Germany",Thomas Uhrig,"1,208"
NYC,Andy Hin,"1,208"
"Kharkiv, Ukraine",I159,"1,208"
Grenyarnia,andrewtweber,"1,208"
"Chengdu, China",aircraft,"1,208"
Poland,Krzysztof Grzybek,"1,208"
Germany,Florian,"1,206"
"Madison, WI",BlueRaja - Danny Pflughoeft,"1,205"
"Moscow, Russia",Ainar-G,"1,205"
United States,Jared Burrows,"1,204"
Egypt,Ahmed Mokhtar,"1,204"
"Berlin, Germany",tobias_k,"1,203"
"Paris, France",Philippe,"1,203"
Manila,enchance,"1,202"
"Kozhikode, India",Asim K T,"1,202"
,Louise Davies,"1,202"
"Nashville, TN, USA",Theron S,"1,202"
"Greenlawn, NY, United States",cjd82187,"1,201"
"Porsgrunn, Norge",Lasse V. Karlsen,"1,200"
"Amsterdam, Netherlands",Matthieu M.,"1,200"
,eumiro,"1,200"
"Toronto, Canada",Ates Goral,"1,200"
,Sean Bright,"1,200"
"Melbourne, Australia",burntsugar,"1,200"
"Oxford, United Kingdom",Gagravarr,"1,200"
"Toulouse, France",Luc Hermitte,"1,200"
United Kingdom,Wilfred Hughes,"1,200"
Israel,Maxim Veksler,"1,200"
"Chicago, IL",Brian Riehman,"1,200"
,jjkparker,"1,200"
,Amio.io,"1,200"
"Paris, France",Linovia,"1,200"
,Rotem,"1,200"
España,Jose M. González,"1,200"
"Bangalore, Karnataka, India",Debasmita Sarkar,"1,200"
,Tensorflow Support,"1,199"
"Orlando, Florida",David Murdoch,"1,198"
Bulgaria,sashoalm,"1,198"
,Andresch Serj,"1,198"
Sweden,Adam,"1,198"
Antarctica,95faf8e76605e973,"1,197"
"Portland, Oregon, United States",sarnold,"1,196"
Moldova,warvariuc,"1,196"
"Paris, France",Benjamin Crouzier,"1,196"
"Melbourne VIC, Australia",Allen,"1,196"
"Chicago, IL, United States",Dirk Eddelbuettel,"1,195"
California,Eli Bendersky,"1,195"
"Aleppo, Syria",Hadi Brais,"1,195"
"Honolulu, HI, United States",Matthias Fripp,"1,195"
"Moscow, Russia",r-m-n,"1,195"
Australia,samthecodingman,"1,195"
"Manhattan, NY",Aziz Alto,"1,194"
"Lamia, Phthiotis, Greece",Christos Lytras,"1,193"
"Frankfurt, Germany",Tomalak,"1,192"
"Berlin, Germany",svenwltr,"1,192"
Belvedere CA,GAEfan,"1,192"
,Jatentaki,"1,192"
"New York, United States",s4y,"1,190"
"Ringwood, England, United Kingdom",Richard,"1,190"
"Sofia, Bulgaria",ddinchev,"1,190"
"Mumbai, India",shantanuo,"1,190"
Netherlands,Jack Ha,"1,190"
Ireland,Zeyang Lin,"1,190"
"London, United Kingdom",eyescream,"1,190"
,Tom,"1,190"
"Pretoria, Gauteng, South Africa",Stanley Mohlala,"1,190"
Finland,reko_t,"1,189"
"San Diego, CA",Moon,"1,189"
Netherlands,Jean-Paul,"1,189"
UK,Katriel,"1,188"
,Hooked,"1,188"
,Rook,"1,188"
"Melbourne, Australia",Ankur,"1,188"
Canada,Jon Tackabury,"1,188"
Iceland,Borgar,"1,188"
,user1669496,"1,188"
"Portland, OR",dcolish,"1,188"
,glennsl,"1,187"
Germany,usr,"1,186"
Australia,Maxim Gershkovich,"1,186"
Bucharest,Dan Dinu,"1,186"
"New York, NY, United States",Hugo Tavares,"1,186"
United States,Noah,"1,186"
,Ville Miekk-oja,"1,186"
,MrMister,"1,186"
United Kingdom,Kirk Larkin,"1,185"
"Los Angeles, CA",Mikhail Berlyant,"1,184"
"Northampton, United Kingdom",ydaetskcoR,"1,183"
,peterSO,"1,182"
India,DhruvPathak,"1,182"
"Vienna, Austria",mpoeter,"1,182"
Philippines,bertdida,"1,182"
"Edmonton, AB, Canada",Tim,"1,180"
London,Dominic,"1,180"
,mveerman,"1,180"
Costa Rica,jcarballo,"1,180"
Singapore,wentjun,"1,180"
"Madison, WI",Ian Stapleton Cordasco,"1,180"
London,skyfoot,"1,180"
"Philadelphia, PA",balexander,"1,180"
"Basel, Switzerland",FunThomas,"1,180"
Argentina,Pablo Ezequiel,"1,180"
,Mark O'Connor,"1,179"
"Huntsville, AL",Greg Bacon,"1,178"
India,Rohit Vats,"1,178"
"Austin, TX",coreyward,"1,178"
Turkey,oguz ismail,"1,178"
California,Nas Banov,"1,178"
,iman,"1,178"
,nokome,"1,178"
,G. Grothendieck,"1,177"
Singapore,Randy Sugianto 'Yuku',"1,177"
"Graz, Austria",Trufa,"1,177"
"New Delhi, Delhi, India",kHarshit,"1,177"
,pimvdb,"1,176"
Massachusetts,nmichaels,"1,176"
"Melbourne, Australia",Tom,"1,176"
Luxembourg,Sri Murthy Upadhyayula,"1,176"
United States,Chris Taylor,"1,175"
,ndim,"1,175"
"Minneapolis, MN",Mark Ransom,"1,174"
Israel,Shay Levy,"1,174"
"Sydney, Australia",Laurence,"1,174"
"Omsk, Russia",sergey kuznetsov,"1,174"
"London, United Kingdom",Martin Smith,"1,173"
Netherlands,Thomas,"1,173"
,Alik,"1,173"
"Milan, Metropolitan City of Milan, Italy",GGamba,"1,173"
,Ruben Helsloot,"1,173"
"Cambridge, MA, USA",TheChymera,"1,172"
Türkiye,malibayram91,"1,172"
"Sofia, Bulgaria",Boris Strandjev,"1,171"
United Kingdom,Maciej Kowalski,"1,171"
,evilSnobu,"1,171"
"Ulverston, United Kingdom",David Heffernan,"1,170"
United Kingdom,Hates_,"1,170"
"Jupiter, FL",orokusaki,"1,170"
"OH, USA",Mike,"1,170"
United States,Alexander Bird,"1,170"
,Bacon Bits,"1,170"
,pjohansson,"1,170"
,samol,"1,170"
"Lexington Park, MD, USA",Steven C. Howell,"1,170"
"Gurgaon, Haryana, India",Pradeep,"1,170"
,Pras ,"1,170"
"Jijel, Algeria",Badis Merabet,"1,170"
"Malappuram, Kerala, India",Rayees AC,"1,170"
,dotancohen,"1,169"
"Santa Barbara, CA",BrenBarn,"1,168"
"Austin, TX, USA",CertainPerformance,"1,167"
Singapore,mrsrinivas,"1,167"
"Pune, Maharashtra, India",UpaJah,"1,167"
India,adatapost,"1,166"
"Bangalore, Karnataka, India",Mayank Shukla,"1,166"
"Tokyo, Japan",Strawberry,"1,166"
"Ahmedabad, Gujarat, India",Raman Sahasi,"1,166"
milky way,kqw,"1,166"
,Ivan Nosov,"1,166"
,Long Nguyen,"1,166"
Germany,Kurt Pfeifle,"1,165"
"Toronto, Canada",tadman,"1,164"
"San Francisco, CA",Jake Wharton,"1,164"
"Schaumburg, Illinois United States",PositiveGuy,"1,164"
"San Francisco, CA, USA",Kurt Peek,"1,164"
"Seoul, South Korea",Youngjae,"1,164"
Iran,Shakiba Moshiri,"1,164"
United Kingdom,Gone Coding,"1,163"
"Guelph, Canada",Chris,"1,163"
Belgrade,Nebojsa Sapic,"1,163"
"Malmö, Sweden",Some programmer dude,"1,162"
"Munich, Germany",Hitesh Sahu,"1,162"
"Amsterdam, Netherlands",eko,"1,161"
Sydney,kuncevic.dev,"1,161"
California,Mehrdad Afshari,"1,160"
,templatetypedef,"1,160"
"Bangalore, India",Agnel Kurian,"1,160"
,Scud,"1,160"
,Hulk,"1,160"
India,akhil_mittal,"1,160"
,Hello lad,"1,160"
,Timmie,"1,160"
"Cleveland, OH, United States",Zach Schneider,"1,160"
Italy,ddfra,"1,160"
"Melbourne, Victoria, Australia",John La Rooy,"1,158"
,Tim S.,"1,158"
"Würzburg, Germany",StephenKing,"1,158"
,Tetraneutron,"1,158"
Europe,Fela Winkelmolen,"1,158"
"Minsk, Belarus",Isantipov,"1,158"
"Surrey, UK",Peter Lawrey,"1,157"
Sweden,Andreas Rejbrand,"1,157"
,Krzysztof Krasoń,"1,157"
"Warsaw, Poland",andilabs,"1,157"
,Colleen,"1,157"
"Kochi, Kerala, India",Frankenstein,"1,157"
"Waterloo, ON, Canada",Human-Compiler,"1,156"
,avivamg,"1,156"
"New York, NY, USA",Brian Adams,"1,155"
"Pune, Maharashtra, India",Hardik Modha,"1,155"
"Mumbai, Maharashtra, India",Alok Save,"1,154"
"Perth, Australia",Cameron MacFarland,"1,154"
"Leeds, United Kingdom",Fogmeister,"1,153"
"Kyiv, Ukraine",Andrey Deineko,"1,153"
"Santiago, Chile",Roberto Bonvallet,"1,153"
Greece,John Moutafis,"1,153"
United Kingdom,Blundell,"1,152"
Singapore,Sam Liao,"1,152"
"Adelaide, Australia",dbr,"1,150"
,Dmitri T,"1,150"
,Random832,"1,150"
,Suan,"1,150"
California,shelhamer,"1,150"
,eschercycle,"1,150"
"Melbourne, Australia",nfm,"1,150"
,eadam,"1,150"
"Frankfurt, Germany",David Wasser,"1,148"
"Arlington, VA",Dave Markle,"1,147"
,Joey Morani,"1,147"
"Washington, D.C., USA",Josh Crozier,"1,146"
United Kingdom,Ben,"1,146"
Greece,George Siggouroglou,"1,146"
"Málaga, Spain",diegosasw,"1,146"
"Sydney, New South Wales, Australia",cerkiner,"1,146"
"Mill Creek, Washington, United States",Hai Vu,"1,145"
"Potsdam, Germany",Frank Schlegel,"1,145"
Mauritius,Jerry,"1,144"
,aroth,"1,144"
"New Delhi, Delhi, India",WitVault,"1,144"
,ire_and_curses,"1,142"
"Carmel Valley, CA, USA",Kevin Christopher Henry,"1,142"
"Lynchburg, VA, United States",Daniel Rearden,"1,141"
"Newcastle, WA",bricelam,"1,141"
Berlin,Jon,"1,140"
"Munich, Germany",yole,"1,140"
"Austin, TX",Tanner Sansbury,"1,140"
"Pittsburgh, PA, USA",Jason R. Coombs,"1,140"
"New Delhi, India",duggu,"1,140"
"Pune, India",simplyharsh,"1,140"
,iagreen,"1,140"
"Vienne, France",guillaume blaquiere,"1,140"
,Gil Shulman,"1,140"
"London, United Kingdom",Jacques Gaudin,"1,140"
,maxbellec,"1,140"
"Kraków, Poland",PjoterS,"1,140"
,P-Gn,"1,139"
,fedorqui 'SO stop harming',"1,138"
,sscirrus,"1,138"
"Cincinnati, OH",Marcus Adams,"1,138"
"Rome, Metropolitan City of Rome, Italy",Francesco Casula,"1,138"
,Dvdwasibi,"1,138"
"Melbourne, Australia",Craig McQueen,"1,137"
Israel,AlikElzin-kilaka,"1,137"
Israel,MByD,"1,136"
,fny,"1,136"
"Bray, Ireland",vitaly-t,"1,136"
"Campinas - State of São Paulo, Brazil",jsbueno,"1,135"
"EHV '75, XV '73, B&D, NB, NL",iH8,"1,134"
,Angular University,"1,133"
"Jacksonville, FL, United States",Haney,"1,133"
"San Francisco, CA",Taylor Leese,"1,132"
"Chennai, India",Thalaivar,"1,132"
Israel,hitautodestruct,"1,132"
Thailand,Pramote Kuacharoen,"1,132"
,camickr,"1,131"
Netherlands,Cleb,"1,131"
,darthbith,"1,131"
"Kochi, Kerala, India",Shyju M,"1,131"
"Kraków, Poland",Will R.O.F.,"1,131"
United Kingdom,pupeno,"1,130"
"Toronto, Ontario, Canada",Simon,"1,130"
"Ottawa, Canada",Kevin Driedger,"1,130"
Australia,Nicholas Blumhardt,"1,130"
"Brussels, Belgium",A_Di-Matteo,"1,130"
"Zürich, Switzerland",user52028778,"1,130"
,Jo So,"1,130"
"Montreal, Quebec",Josef,"1,130"
"Redmond, WA, United States",Sachin Joseph,"1,130"
"Alappuzha, India",Haseena P A,"1,130"
"Oslo, Norway",Mika Sundland,"1,130"
Slovakia,nudzo,"1,130"
Dev Freelance,Jacky Nguyen,"1,130"
"Netanya, Israel",Amir Sasson,"1,130"
,Tyler,"1,130"
,Veedrac,"1,129"
